asset,horizon,model,mae,rmse,directional_accuracy,interval_coverage,var_breach_rate,band_width,calibration_score,is_selected,is_baseline
SPX,3D,arima,0.005011,0.007330,0.5625,0.8750,0.1250,0.0218,0.7273,FALSE,FALSE
SPX,3D,last_price_baseline,0.005346,0.007640,0.3750,0.8750,0.1250,0.0219,0.6880,FALSE,TRUE
SPX,3D,rolling_vol_baseline,0.005346,0.007640,0.3750,0.8750,0.1250,0.0219,0.6880,FALSE,TRUE
SPX,3D,rolling_mean_baseline,0.006006,0.007798,0.3750,0.8750,0.1250,0.0219,0.6845,FALSE,TRUE
SPX,3D,garch,0.005607,0.007796,0.3125,0.8750,0.1250,0.0207,0.6745,FALSE,FALSE
SPX,3D,historical_mean_baseline,0.005706,0.007898,0.3125,0.8750,0.1250,0.0257,0.6724,FALSE,TRUE
SPX,7D,last_price_baseline,0.008172,0.010428,0.6875,0.8750,0.0625,0.0334,0.7322,TRUE,TRUE
SPX,7D,rolling_vol_baseline,0.008172,0.010428,0.6875,0.8750,0.0625,0.0334,0.7322,FALSE,TRUE
SPX,7D,rolling_mean_baseline,0.008838,0.011387,0.6875,0.8750,0.0625,0.0335,0.7289,FALSE,TRUE
SPX,7D,ewma,0.009065,0.011675,0.5000,0.8750,0.0625,0.0347,0.6898,FALSE,FALSE
SPX,7D,garch,0.007861,0.010380,0.6250,0.9375,0.0625,0.0313,0.5970,FALSE,FALSE
SPX,7D,arima,0.008066,0.010248,0.6250,0.9375,0.0625,0.0334,0.5953,FALSE,FALSE
SPX,7D,historical_mean_baseline,0.007901,0.010507,0.6250,0.9375,0.0000,0.0393,0.5944,FALSE,TRUE
SPX,7D,xgboost,0.010744,0.014094,0.6250,0.6250,0.0625,0.0273,0.5088,FALSE,FALSE
SPX,30D,garch,0.016707,0.020975,0.5882,0.7647,0.1176,0.0578,0.7445,TRUE,FALSE
SPX,30D,last_price_baseline,0.013463,0.018059,0.6471,0.8824,0.0588,0.0669,0.6738,FALSE,TRUE
SPX,30D,rolling_vol_baseline,0.013463,0.018059,0.6471,0.8824,0.0588,0.0669,0.6738,FALSE,TRUE
SPX,30D,historical_mean_baseline,0.018063,0.022530,0.5882,0.8824,0.0000,0.0818,0.6374,FALSE,TRUE
SPX,30D,arima,0.013606,0.018020,0.4118,0.8824,0.0588,0.0668,0.6261,FALSE,FALSE
SPX,30D,rolling_mean_baseline,0.022298,0.026964,0.5882,0.7059,0.0588,0.0670,0.6014,FALSE,TRUE
SPX,30D,ewma,0.021938,0.029316,0.4706,0.6471,0.0588,0.0690,0.4610,FALSE,FALSE
SPX,30D,xgboost,0.052262,0.059660,0.2941,0.2941,0.0588,0.0600,0.2463,FALSE,FALSE
XAU,1D,ewma,0.004291,0.005062,0.5625,0.7500,0.0000,0.0126,0.7841,TRUE,FALSE
XAU,1D,rolling_mean_baseline,0.004443,0.005277,0.5625,0.7500,0.0000,0.0125,0.7833,FALSE,TRUE
XAU,1D,arima,0.004664,0.005435,0.3750,0.7500,0.0000,0.0123,0.7446,FALSE,FALSE
XAU,1D,garch,0.004570,0.005331,0.3125,0.7500,0.0000,0.0126,0.7325,FALSE,FALSE
XAU,1D,last_price_baseline,0.004464,0.005245,0.5000,0.6875,0.0000,0.0124,0.6456,FALSE,TRUE
XAU,1D,rolling_vol_baseline,0.004464,0.005245,0.5000,0.6875,0.0000,0.0124,0.6456,FALSE,TRUE
XAU,1D,historical_mean_baseline,0.004546,0.005291,0.5000,0.9375,0.0000,0.0176,0.5936,FALSE,TRUE
XAU,1D,xgboost,0.005158,0.006064,0.3750,0.5625,0.0000,0.0132,0.4416,FALSE,FALSE
XAU,3D,arima,0.007681,0.009298,0.5000,0.8125,0.0625,0.0214,0.8259,TRUE,FALSE
XAU,3D,ewma,0.006682,0.008407,0.8125,0.7500,0.0625,0.0218,0.8184,FALSE,FALSE
XAU,3D,rolling_mean_baseline,0.006753,0.008362,0.6875,0.7500,0.0625,0.0216,0.7931,FALSE,TRUE
XAU,3D,garch,0.007702,0.009435,0.5625,0.7500,0.0625,0.0229,0.7628,FALSE,FALSE
XAU,3D,historical_mean_baseline,0.008006,0.009603,0.3750,0.8750,0.0625,0.0306,0.6714,FALSE,TRUE
XAU,3D,last_price_baseline,0.007792,0.009547,0.3750,0.6875,0.0625,0.0216,0.6002,FALSE,TRUE
XAU,3D,rolling_vol_baseline,0.007792,0.009547,0.3750,0.6875,0.0625,0.0216,0.6002,FALSE,TRUE
XAU,3D,xgboost,0.009547,0.010895,0.3750,0.5000,0.1250,0.0229,0.4160,FALSE,FALSE
XAU,7D,garch,0.009969,0.012962,0.6250,0.8125,0.0625,0.0361,0.8350,TRUE,FALSE
XAU,7D,ewma,0.008644,0.011557,0.7500,0.7500,0.0625,0.0333,0.7924,FALSE,FALSE
XAU,7D,arima,0.010572,0.013240,0.5625,0.7500,0.0625,0.0327,0.7455,FALSE,FALSE
XAU,7D,rolling_mean_baseline,0.009791,0.011802,0.5000,0.7500,0.0625,0.0331,0.7367,FALSE,TRUE
XAU,7D,historical_mean_baseline,0.010658,0.013515,0.4375,0.8750,0.0000,0.0468,0.6659,FALSE,TRUE
XAU,7D,last_price_baseline,0.010592,0.013419,0.4375,0.6875,0.0625,0.0329,0.5953,FALSE,TRUE
XAU,7D,rolling_vol_baseline,0.010592,0.013419,0.4375,0.6875,0.0625,0.0329,0.5953,FALSE,TRUE
XAU,7D,xgboost,0.013707,0.016844,0.5625,0.5625,0.0625,0.0350,0.4301,FALSE,FALSE
XAU,30D,historical_mean_baseline,0.026241,0.033875,0.2353,0.8235,0.0000,0.0996,0.6476,TRUE,TRUE
XAU,30D,arima,0.019486,0.027467,0.5882,0.7059,0.2353,0.0673,0.6124,FALSE,FALSE
XAU,30D,garch,0.024053,0.032929,0.5882,0.7059,0.1176,0.0809,0.5906,FALSE,FALSE
XAU,30D,last_price_baseline,0.019835,0.027822,0.2941,0.7059,0.2353,0.0683,0.5519,FALSE,TRUE
XAU,30D,rolling_vol_baseline,0.019835,0.027822,0.2941,0.7059,0.2353,0.0683,0.5519,FALSE,TRUE
XAU,30D,rolling_mean_baseline,0.032240,0.041582,0.5882,0.5882,0.2353,0.0698,0.3541,FALSE,TRUE
XAU,30D,ewma,0.032785,0.040228,0.5882,0.5882,0.1765,0.0731,0.3514,FALSE,FALSE
XAU,30D,xgboost,0.078709,0.093410,0.3529,0.1176,0.1765,0.0777,0.2094,FALSE,FALSE
